,budget,genres,original_language,popularity,production_companies,release_date,revenue,status,title,vote_average,vote_count,release_year,net_loss_profit,Primary Genre
19924,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",en,23.253089000000003,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'Warner Bros. Pictures', 'id': 174}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",11/26/2012,1021103568.0,Released,The Hobbit: An Unexpected Journey,7.0,8427.0,2012,771103568.0,Adventure
43851,80000000,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",en,36.631519,"[{'name': 'Illumination Entertainment', 'id': 6704}]",6/15/2017,1020063384.0,Released,Despicable Me 3,6.2,2002.0,2017,940063384.0,Action
12466,185000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,123.167259,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}]",7/16/2008,1004558444.0,Released,The Dark Knight,8.3,12269.0,2008,819558444.0,Drama
4761,125000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,38.187238,"[{'name': '1492 Pictures', 'id': 436}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]",11/16/2001,976475550.0,Released,Harry Potter and the Philosopher's Stone,7.5,7188.0,2001,851475550.0,Adventure
21110,76000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,24.82355,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Illumination Entertainment', 'id': 6704}]",6/25/2013,970761885.0,Released,Despicable Me 2,7.0,4729.0,2013,894761885.0,Animation
31306,175000000,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",en,17.432758,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Studios Motion Pictures', 'id': 3036}, {'name': 'Fairview Entertainment', 'id': 7297}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}]",4/7/2016,966550600.0,Released,The Jungle Book,6.7,2977.0,2016,791550600.0,Family
11812,300000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",en,31.363664,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Second Mate Productions', 'id': 19936}]",5/19/2007,961000000.0,Released,Pirates of the Caribbean: At World's End,6.9,4627.0,2007,661000000.0,Adventure
22003,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,20.644776,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'Warner Bros. Pictures', 'id': 174}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",12/11/2013,958400000.0,Released,The Hobbit: The Desolation of Smaug,7.6,4633.0,2013,708400000.0,Adventure
25322,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,31.718977000000002,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'Warner Bros. Pictures', 'id': 174}, {'name': '3Foot7', 'id': 7413}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",12/10/2014,956019788.0,Released,The Hobbit: The Battle of the Five Armies,7.1,4884.0,2014,706019788.0,Action
16099,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,23.300362,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]",10/17/2010,954305868.0,Released,Harry Potter and the Deathly Hallows: Part 1,7.5,5708.0,2010,704305868.0,Adventure
6226,94000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,25.497794,"[{'name': 'Pixar Animation Studios', 'id': 3}]",5/30/2003,940335536.0,Released,Finding Nemo,7.6,6292.0,2003,846335536.0,Animation
11912,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}]",en,21.3643,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]",6/28/2007,938212738.0,Released,Harry Potter and the Order of the Phoenix,7.4,5633.0,2007,788212738.0,Adventure
13874,250000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,19.083723000000003,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]",7/7/2009,933959197.0,Released,Harry Potter and the Half-Blood Prince,7.4,5435.0,2009,683959197.0,Adventure
5809,79000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",en,29.423537,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]",12/18/2002,926287400.0,Released,The Lord of the Rings: The Two Towers,8.0,7641.0,2002,847287400.0,Adventure
2512,115000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,15.649091,"[{'name': 'Lucasfilm', 'id': 1}]",5/19/1999,924317558.0,Released,Star Wars: Episode I - The Phantom Menace,6.4,4526.0,1999,809317558.0,Adventure
475,63000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",en,8.863776,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",6/11/1993,920100000.0,Released,Jurassic Park,7.6,4956.0,1993,857100000.0,Adventure
7709,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,16.229860000000002,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Pacific Data Images (PDI)', 'id': 520}, {'name': 'DreamWorks Animation', 'id': 521}]",5/19/2004,919838758.0,Released,Shrek 2,6.7,3082.0,2004,769838758.0,Adventure
10543,150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,24.903057999999998,"[{'name': 'Patalex IV Productions Limited', 'id': 462}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Heyday Films', 'id': 7364}]",11/5/2005,895921036.0,Released,Harry Potter and the Goblet of Fire,7.5,5758.0,2005,745921036.0,Adventure
11765,258000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,27.614265000000003,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Laura Ziskin Productions', 'id': 326}, {'name': 'Marvel Enterprises', 'id': 19551}]",5/1/2007,890871626.0,Released,Spider-Man 3,5.9,3687.0,2007,632871626.0,Fantasy
13829,90000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",en,12.980624,"[{'name': 'Blue Sky Studios', 'id': 9383}, {'name': 'Twentieth Century Fox Animation', 'id': 11749}]",6/29/2009,886686817.0,Released,Ice Age: Dawn of the Dinosaurs,6.5,2330.0,2009,796686817.0,Animation
30679,245000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]",en,24.926576999999998,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Danjaq', 'id': 10761}, {'name': 'B24', 'id': 69434}]",10/26/2015,880674609.0,Released,Spectre,6.3,4552.0,2015,635674609.0,Action
19094,95000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",en,13.26958,"[{'name': 'Blue Sky Studios', 'id': 9383}, {'name': 'Twentieth Century Fox Animation', 'id': 11749}]",6/26/2012,877244782.0,Released,Ice Age: Continental Drift,6.2,2731.0,2012,782244782.0,Animation
5673,100000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,29.741452000000002,"[{'name': '1492 Pictures', 'id': 436}, {'name': 'Heyday films', 'id': 437}, {'name': 'Warner Bros.', 'id': 6194}]",11/13/2002,876688482.0,Released,Harry Potter and the Chamber of Secrets,7.4,5966.0,2002,776688482.0,Adventure
30419,75000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,11.01395,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Fuji Television Network', 'id': 3341}, {'name': 'Dentsu', 'id': 6452}, {'name': 'Illumination Entertainment', 'id': 6704}]",6/18/2016,875457937.0,Released,The Secret Life of Pets,5.9,3536.0,2016,800457937.0,Animation
30990,250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,31.435878999999996,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Cruel & Unusual Films', 'id': 9995}, {'name': 'RatPac-Dune Entertainment', 'id': 41624}]",3/23/2016,873260194.0,Released,Batman v Superman: Dawn of Justice,5.7,7189.0,2016,623260194.0,Action
4858,93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",en,32.070725,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]",12/18/2001,871368364.0,Released,The Lord of the Rings: The Fellowship of the Ring,8.0,8892.0,2001,778368364.0,Adventure
26495,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",en,185.33099199999998,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Marvel Studios', 'id': 420}]",4/19/2017,863416141.0,Released,Guardians of the Galaxy Vol. 2,7.6,4858.0,2017,663416141.0,Action
30235,175000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,23.985587,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Pixar Animation Studios', 'id': 3}]",6/9/2015,857611174.0,Released,Inside Out,7.9,6737.0,2015,682611174.0,Drama
10058,113000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",en,13.165420999999998,"[{'name': 'Lucasfilm', 'id': 1}]",5/17/2005,850000000.0,Released,Star Wars: Episode III - Revenge of the Sith,7.1,4200.0,2005,737000000.0,Science Fiction
22002,130000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,25.309139000000002,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Color Force', 'id': 5420}]",11/15/2013,847423452.0,Released,The Hunger Games: Catching Fire,7.4,6656.0,2013,717423452.0,Adventure
13815,150000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,4.351756,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Platinum Dunes', 'id': 2481}, {'name': 'Hasbro Studios', 'id': 22826}, {'name': 'Revolution Sun Studios', 'id': 76043}]",6/19/2009,836297228.0,Released,Transformers: Revenge of the Fallen,6.0,3192.0,2009,686297228.0,Science Fiction
19768,120000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,26.080995,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Sunswept Entertainment', 'id': 5219}, {'name': 'Temple Hill Entertainment', 'id': 12292}]",11/13/2012,829000000.0,Released,The Twilight Saga: Breaking Dawn - Part 2,6.1,2641.0,2012,709000000.0,Adventure
15454,160000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",en,29.108148999999997,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Syncopy', 'id': 9996}]",7/14/2010,825532764.0,Released,Inception,8.1,14075.0,2010,665532764.0,Action
5210,139000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",en,29.413341,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Marvel Enterprises', 'id': 19551}]",5/1/2002,821708551.0,Released,Spider-Man,6.8,5398.0,2002,682708551.0,Fantasy
33264,149000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",en,294.337037,"[{'name': 'Dune Entertainment', 'id': 444}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Cruel & Unusual Films', 'id': 9995}, {'name': 'TENCENT PICTURES', 'id': 81620}, {'name': 'Wanda Pictures', 'id': 83838}]",5/30/2017,820580447.0,Released,Wonder Woman,7.2,5025.0,2017,671580447.0,Action
758,75000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",en,17.634197,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Centropolis Entertainment', 'id': 347}]",6/25/1996,816969268.0,Released,Independence Day,6.7,3334.0,1996,741969268.0,Action
30321,180000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,41.051421000000005,"[{'name': 'Heyday films', 'id': 437}, {'name': 'Warner Bros.', 'id': 6194}]",11/16/2016,809342332.0,Released,Fantastic Beasts and Where to Find Them,7.2,5612.0,2016,629342332.0,Adventure
11810,160000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,14.072479000000001,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'DreamWorks Animation', 'id': 521}]",5/17/2007,798958165.0,Released,Shrek the Third,6.0,2355.0,2007,638958165.0,Fantasy
